barcode,st,n_reads,coverage,arcC,aroE,glpF,gmk,pta,tpi,yqiL,basecall_method,clonal_complex,MLST.CC,CC_filled,note,predicted_cc_is_correct,predicted_mlst_is_single
1,ND,1000,6.94,"",273*,"",169*,419*,"",314*,fast,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,2000,41.07,90*,49*,42*,169*,419*,270*,879*,fast,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,3000,47.47,3*,49*,42*,1*,25*,270*,879*,fast,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,4000,57.81,3*,49*,42*,1*,25*,813*,879*,fast,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,5000,60.45,3*,306*,42*,1*,25*,813*,53*,fast,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,6000,60.52,3*,306*,42*,1*,25*,813*,53*,fast,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,7000,60.9,3*,306*,42*,1*,25*,813*,53*,fast,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,8000,62.35,3,539*,42*,1*,25*,813*,3*,fast,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,9000,63.48,3,539*,42*,1*,25*,813*,3*,fast,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,10000,64.03,3,49*,42*,1*,25*,813*,3,fast,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,1000,0.51,"",663*,"","",254*,329*,314*,hac,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,2000,41.32,3*,683*,166*,"",372*,270*,3*,hac,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,3000,51.92,3*,683*,166*,1*,372*,270*,3*,hac,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,4000,63.29,3*,683*,166*,1*,372*,855*,3*,hac,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,5000,64.55,3*,683*,166*,1*,372*,855*,3*,hac,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,6000,64.94,3,683*,166*,1*,372*,855*,3*,hac,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,7000,65.13,3,349*,166*,1*,372*,855*,3*,hac,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,8000,66.26,3,349*,166*,1*,372*,4*,3,hac,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,9000,66.16,3,683*,166*,1*,372*,4*,3,hac,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,10000,69.74,3,87*,166*,1*,372*,4*,3,hac,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,1000,9.44,"",273*,"",368*,254*,385*,314*,sup,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,2000,37.22,3,49*,166*,368*,254*,385*,314*,sup,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,3000,57.4,3,871*,166*,1*,444*,385*,3*,sup,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,4000,68.99,3,871*,166*,1*,25*,855*,3*,sup,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,5000,69.8,3,871*,166*,1*,874*,855*,53,sup,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,6000,69.84,3,871*,166*,1*,874*,855*,53,sup,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,7000,69.84,3,49*,166*,1*,874*,855*,53,sup,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,8000,69.84,3,49*,166*,1*,94*,855*,3,sup,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,9000,70.03,3,49*,166*,1*,94*,855*,3,sup,,CC8,CC8,"Tested up to DLV, none found",,
1,ND,10000,84.34,3,49*,166*,1,4*,855*,3,sup,CC8,CC8,CC8,taken from DLV with 1 STs,TRUE,TRUE
10,ND,1000,25.25,12*,868*,"","",891*,"",896*,fast,,CC6,CC6,"Tested up to DLV, none found",,
10,ND,2000,35.54,12*,868*,"","",184*,374*,896*,fast,,CC6,CC6,"Tested up to DLV, none found",,
10,ND,3000,52.75,12*,868*,"","",592*,549*,896*,fast,,CC6,CC6,"Tested up to DLV, none found",,
10,ND,4000,64.47,12*,868*,"",669*,592*,549*,896*,fast,,CC6,CC6,"Tested up to DLV, none found",,
10,ND,5000,65.86,12*,868*,"",669*,12*,549*,896*,fast,,CC6,CC6,"Tested up to DLV, none found",,
10,ND,6000,65.86,12*,868*,"",669*,12*,549*,896*,fast,,CC6,CC6,"Tested up to DLV, none found",,
10,ND,7000,69.06,12*,868*,"",669*,12*,1*,896*,fast,,CC6,CC6,"Tested up to DLV, none found",,
10,ND,8000,69.22,12*,868*,"",669*,12,1*,896*,fast,,CC6,CC6,"Tested up to DLV, none found",,
10,ND,9000,69.93,12*,840*,"",4*,12,1*,896*,fast,,CC6,CC6,"Tested up to DLV, none found",,
10,ND,10000,81.26,12*,825*,"",4*,12,1,896*,fast,,CC6,CC6,"Tested up to DLV, none found",,
10,ND,1000,28.36,12*,868*,"","",891*,290*,896*,hac,,CC6,CC6,"Tested up to DLV, none found",,
10,ND,2000,37.86,12*,303*,"","",22*,278*,896,hac,,CC6,CC6,"Tested up to DLV, none found",,
10,ND,3000,56.76,12,303*,"","",633*,549*,896,hac,,CC6,CC6,"Tested up to DLV, none found",,
10,ND,4000,73.28,12,303*,208*,4*,633*,549*,3,hac,,CC6,CC6,"Tested up to DLV, none found",,
10,ND,5000,73.86,12,303*,208*,4*,12,549*,3,hac,CC5,CC6,CC6,taken from DLV with 1 STs,FALSE,TRUE
10,ND,6000,74.19,12,303*,201*,4*,12,549*,3,hac,CC5,CC6,CC6,taken from DLV with 1 STs,FALSE,TRUE
10,ND,7000,75.38,12,303*,201*,4*,12,1,3,hac,CC5,CC6,CC6,taken from DLV with 54 STs,FALSE,TRUE
10,ND,8000,75.64,12,303*,201*,4*,12,1,3,hac,CC5,CC6,CC6,taken from DLV with 54 STs,FALSE,TRUE
10,ND,9000,75.7,12,303*,201*,4*,12,1,3,hac,CC5,CC6,CC6,taken from DLV with 54 STs,FALSE,TRUE
10,ND,10000,87.49,12,1142*,201*,4*,12,1,3,hac,CC5,CC6,CC6,taken from DLV with 54 STs,FALSE,TRUE
10,ND,1000,15.31,"",295*,"","","","",896,sup,,CC6,CC6,"Tested up to DLV, none found",,
10,ND,2000,38.94,12,683*,"","",455*,23*,896,sup,,CC6,CC6,"Tested up to DLV, none found",,
10,ND,3000,50.98,12,666*,"","",455*,1*,896,sup,,CC6,CC6,"Tested up to DLV, none found",,
10,ND,4000,63.79,12,539*,"",461*,455*,1*,3,sup,,CC6,CC6,"Tested up to DLV, none found",,
10,ND,5000,69.8,12,129*,"",461*,12*,1*,3,sup,,CC6,CC6,"Tested up to DLV, none found",,
10,ND,6000,70.48,12,129*,"",461*,12,1*,3,sup,,CC6,CC6,"Tested up to DLV, none found",,
10,ND,7000,71.93,12,539*,"",4*,12,1,3,sup,CC5,CC6,CC6,taken from DLV with 54 STs,FALSE,TRUE
10,ND,8000,72.32,12,129*,"",4,12,1,3,sup,CC5,CC6,CC6,taken from DLV with 54 STs,FALSE,TRUE
10,ND,9000,78.09,12,129*,537*,4,12,1,3,sup,CC5,CC6,CC6,taken from DLV with 54 STs,FALSE,TRUE
10,ND,10000,78.05,12,539*,537*,4,12,1,3,sup,CC5,CC6,CC6,taken from DLV with 54 STs,FALSE,TRUE
17,762,9000,99.77,1*,1,104,1,1,1,1,hac,CC1,CC1,CC1,"",TRUE,TRUE
17,762,10000,99.77,1*,1,104,1,1,1,1,hac,CC1,CC1,CC1,"",TRUE,TRUE
17,ND,1000,15,442*,435*,"","",44*,512*,1051*,fast,,CC1,CC1,"Tested up to DLV, none found",,
17,ND,2000,53.01,484*,435*,2*,493*,660*,512*,638*,fast,,CC1,CC1,"Tested up to DLV, none found",,
17,ND,3000,62.35,484*,435*,2*,493*,660*,285*,1*,fast,,CC1,CC1,"Tested up to DLV, none found",,
17,ND,4000,89.86,484*,164*,104*,493*,660*,285*,1*,fast,,CC1,CC1,"Tested up to DLV, none found",,
17,ND,5000,89.86,484*,164*,104*,493*,660*,285*,1*,fast,,CC1,CC1,"Tested up to DLV, none found",,
17,ND,6000,93.11,484*,164*,104*,493*,660*,285*,1*,fast,,CC1,CC1,"Tested up to DLV, none found",,
17,ND,7000,93.11,484*,164*,104*,493*,660*,285*,1*,fast,,CC1,CC1,"Tested up to DLV, none found",,
17,ND,8000,93.43,484*,164*,104*,493*,660*,1,1*,fast,,CC1,CC1,"Tested up to DLV, none found",,
